2020/05/16 20:29:00.586 [D] [proc.go:203]  init logger succ
2020/05/16 20:29:00.597 [D] [main.go:32]  initRedis succ
2020/05/16 20:29:00.598 [D] [main.go:32]  initEtcd succ
2020/05/16 20:29:00.598 [D] [init.go:39]  get from etcd start
2020/05/16 20:29:00.606 [D] [init.go:39]  get from etcd succm resp:&{cluster_id:14841639068965178418 member_id:10276657743932975437 revision:3 raft_term:3  [key:"/seckill/product" create_revision:2 mod_revision:3 version:2 value:"[{\"ProductID\":100,\"StartTime\":1589231756,\"EndTime\":1589404556,\"Status\":0,\"Total\":1000,\"Left\":1000},{\"ProductID\":102,\"StartTime\":1589231756,\"EndTime\":1589404556,\"Status\":0,\"Total\":2000,\"Left\":2000}]" ] false 1}
2020/05/16 20:29:00.606 [D] [init.go:39]  key[0] valud[key:"/seckill/product" create_revision:2 mod_revision:3 version:2 value:"[{\"ProductID\":100,\"StartTime\":1589231756,\"EndTime\":1589404556,\"Status\":0,\"Total\":1000,\"Left\":1000},{\"ProductID\":102,\"StartTime\":1589231756,\"EndTime\":1589404556,\"Status\":0,\"Total\":2000,\"Left\":2000}]" ]
2020/05/16 20:29:00.606 [D] [init.go:39]  sec info conf is [[{100 1589231756 1589404556 0 1000 1000 0 0 0 <nil>} {102 1589231756 1589404556 0 2000 2000 0 0 0 <nil>}]]
2020/05/16 20:29:00.607 [D] [init.go:39]  update product info succ, data:[{100 1589231756 1589404556 0 1000 1000 0 0 0 <nil>} {102 1589231756 1589404556 0 2000 2000 0 0 0 <nil>}]
2020/05/16 20:29:00.607 [D] [init.go:39]  initSecProductWatcher succ
2020/05/16 20:29:00.607 [D] [main.go:32]  init secConf succ
2020/05/16 20:29:00.607 [D] [asm_amd64.s:1373]  begin watch key:/seckill/product
2020/05/16 20:29:00.609 [D] [main.go:32]  init logicContext succ
2020/05/16 20:29:00.609 [D] [proc.go:203]  init logic succ
2020/05/16 20:29:00.609 [D] [service.go:4]  all process goroutine started
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle user running
2020/05/16 20:29:00.609 [D] [asm_amd64.s:1373]  handle write running
